Record Date,Debt Outstanding Amount,Source Line Number,Fiscal Year,Fiscal Quarter Number,Calendar Year,Calendar Quarter Number,Calendar Month Number,Calendar Day Number
2022-09-30,30928911613306.73,1,2022,4,2022,3,09,30
2021-09-30,28428918570048.68,1,2021,4,2021,3,09,30
2020-09-30,26945391194615.15,1,2020,4,2020,3,09,30
2019-09-30,22719401753433.78,1,2019,4,2019,3,09,30
2018-09-30,21516058183180.23,1,2018,4,2018,3,09,30
2017-09-30,20244900016053.51,1,2017,4,2017,3,09,30
2016-09-30,19573444713936.79,1,2016,4,2016,3,09,30
2015-09-30,18150617666484.33,1,2015,4,2015,3,09,30
2014-09-30,17824071380733.82,1,2014,4,2014,3,09,30
2013-09-30,16738183526697.32,1,2013,4,2013,3,09,30
2012-09-30,16066241407385.89,1,2012,4,2012,3,09,30
2011-09-30,14790340328557.15,1,2011,4,2011,3,09,30
2010-09-30,13561623030891.79,1,2010,4,2010,3,09,30
2009-09-30,11909829003511.75,1,2009,4,2009,3,09,30
2008-09-30,10024724896912.49,1,2008,4,2008,3,09,30
2007-09-30,9007653372262.48,1,2007,4,2007,3,09,30
2006-09-30,8506973899215.23,1,2006,4,2006,3,09,30
2005-09-30,7932709661723.50,1,2005,4,2005,3,09,30
2004-09-30,7379052696330.32,1,2004,4,2004,3,09,30
2003-09-30,6783231062743.62,1,2003,4,2003,3,09,30
2002-09-30,6228235965597.16,1,2002,4,2002,3,09,30
2001-09-30,5807463412200.06,1,2001,4,2001,3,09,30
2000-09-30,5674178209886.86,1,2000,4,2000,3,09,30
1999-09-30,5656270901615.43,1,1999,4,1999,3,09,30
1998-09-30,5526193008897.62,1,1998,4,1998,3,09,30
1997-09-30,5413146011397.34,1,1997,4,1997,3,09,30
1996-09-30,5224810939135.73,1,1996,4,1996,3,09,30
1995-09-29,4973982900709.39,1,1995,4,1995,3,09,29
1994-09-30,4692749910013.32,1,1994,4,1994,3,09,30
1993-09-30,4411488883139.38,1,1993,4,1993,3,09,30
1992-09-30,4064620655521.66,1,1992,4,1992,3,09,30
1991-09-30,3665303351697.03,1,1991,4,1991,3,09,30
1990-09-28,3233313451777.25,1,1990,4,1990,3,09,28
1989-09-29,2857430960187.32,1,1989,4,1989,3,09,29
1988-09-30,2602337712041.16,1,1988,4,1988,3,09,30
1987-09-30,2350276890953.00,1,1987,4,1987,3,09,30
1986-09-30,2125302616658.42,1,1986,4,1986,3,09,30
1985-09-30,1823103000000.00,1,1985,4,1985,3,09,30
1984-09-30,1572266000000.00,1,1984,4,1984,3,09,30
1983-09-30,1377210000000.00,1,1983,4,1983,3,09,30
1982-09-30,1142034000000.00,1,1982,4,1982,3,09,30
1981-09-30,997855000000.00,1,1981,4,1981,3,09,30
1980-09-30,907701000000.00,1,1980,4,1980,3,09,30
1979-09-30,826519000000.00,1,1979,4,1979,3,09,30
1978-09-30,771544000000.00,1,1978,4,1978,3,09,30
1977-09-30,698840000000.00,1,1977,4,1977,3,09,30
1976-06-30,620433000000.00,1,1976,3,1976,2,06,30
1975-06-30,533189000000.00,1,1975,3,1975,2,06,30
1974-06-30,475059815731.55,1,1974,3,1974,2,06,30
1973-06-30,458141605312.09,1,1973,3,1973,2,06,30
1972-06-30,427260460940.50,1,1972,3,1972,2,06,30
1971-06-30,398129744455.54,1,1971,3,1971,2,06,30
1970-06-30,370918706949.93,1,1970,3,1970,2,06,30
1969-06-30,353720253841.41,1,1969,3,1969,2,06,30
1968-06-30,347578406425.88,1,1968,3,1968,2,06,30
1967-06-30,326220937794.54,1,1967,3,1967,2,06,30
1966-06-30,319907087795.48,1,1966,3,1966,2,06,30
1965-06-30,317273898983.64,1,1965,3,1965,2,06,30
1964-06-30,311712899257.30,1,1964,3,1964,2,06,30
1963-06-30,305859632996.41,1,1963,3,1963,2,06,30
1962-06-30,298200822720.87,1,1962,3,1962,2,06,30
1961-06-30,288970938610.05,1,1961,3,1961,2,06,30
1960-06-30,286330760848.37,1,1960,3,1960,2,06,30
1959-06-30,284705907078.22,1,1959,3,1959,2,06,30
1958-06-30,276343217745.81,1,1958,3,1958,2,06,30
1957-06-30,270527171896.43,1,1957,3,1957,2,06,30
1956-06-30,272750813649.32,1,1956,3,1956,2,06,30
1955-06-30,274374222802.62,1,1955,3,1955,2,06,30
1954-06-30,271259599108.46,1,1954,3,1954,2,06,30
1953-06-30,266071061638.57,1,1953,3,1953,2,06,30
1952-06-30,259105178785.43,1,1952,3,1952,2,06,30
1951-06-29,255221976814.93,1,1951,3,1951,2,06,29
1950-06-30,257357352351.04,1,1950,3,1950,2,06,30
1949-06-30,252770359860.33,1,1949,3,1949,2,06,30
1948-06-30,252292246512.99,1,1948,3,1948,2,06,30
1947-06-30,258286383108.67,1,1947,3,1947,2,06,30
1946-06-28,269422099173.26,1,1946,3,1946,2,06,28
1945-06-30,258682187409.93,1,1945,3,1945,2,06,30
1944-06-30,201003387221.13,1,1944,3,1944,2,06,30
1943-06-30,136696090329.90,1,1943,3,1943,2,06,30
1942-06-30,72422445116.22,1,1942,3,1942,2,06,30
1941-06-30,48961443535.71,1,1941,3,1941,2,06,30
1940-06-29,42967531037.68,1,1940,3,1940,2,06,29
1939-06-30,40439532411.11,1,1939,3,1939,2,06,30
1938-06-30,37164740315.45,1,1938,3,1938,2,06,30
1937-06-30,36424613732.29,1,1937,3,1937,2,06,30
1936-06-30,33778543493.73,1,1936,3,1936,2,06,30
1935-06-29,28700892624.53,1,1935,3,1935,2,06,29
1934-06-30,27053141414.48,1,1934,3,1934,2,06,30
1933-06-30,22538672560.15,1,1933,3,1933,2,06,30
1932-06-30,19487002444.13,1,1932,3,1932,2,06,30
1931-06-30,16801281491.71,1,1931,3,1931,2,06,30
1930-06-30,16185309831.43,1,1930,3,1930,2,06,30
1929-06-29,16931088484.10,1,1929,3,1929,2,06,29
1928-06-30,17604293201.43,1,1928,3,1928,2,06,30
1927-06-30,18511906931.85,1,1927,3,1927,2,06,30
1926-06-30,19643216315.19,1,1926,3,1926,2,06,30
1925-06-30,20516193887.90,1,1925,3,1925,2,06,30
1924-06-30,21250812989.49,1,1924,3,1924,2,06,30
1923-06-30,22349707365.36,1,1923,3,1923,2,06,30
1922-06-30,22963381708.31,1,1922,3,1922,2,06,30
1921-06-30,23977450552.54,1,1921,3,1921,2,06,30
1920-07-01,25952456406.16,1,1920,4,1920,3,07,01
1919-07-01,27390970113.12,1,1919,4,1919,3,07,01
1918-07-01,14592161414.00,1,1918,4,1918,3,07,01
1917-07-01,5717770279.52,1,1917,4,1917,3,07,01
1916-07-01,3609244262.16,1,1916,4,1916,3,07,01
1915-07-01,3058136873.16,1,1915,4,1915,3,07,01
1914-07-01,2912499269.16,1,1914,4,1914,3,07,01
1913-07-01,2916204913.66,1,1913,4,1913,3,07,01
1912-07-01,2868373874.16,1,1912,4,1912,3,07,01
1911-07-01,2765600606.69,1,1911,4,1911,3,07,01
1910-07-01,2652665838.04,1,1910,4,1910,3,07,01
1909-07-01,2639546241.04,1,1909,4,1909,3,07,01
1908-07-01,2626806271.54,1,1908,4,1908,3,07,01
1907-07-01,2457188061.54,1,1907,4,1907,3,07,01
1906-07-01,2337161839.04,1,1906,4,1906,3,07,01
1905-07-01,2274615063.84,1,1905,4,1905,3,07,01
1904-07-01,2264003585.14,1,1904,4,1904,3,07,01
1903-07-01,2202464781.89,1,1903,4,1903,3,07,01
1902-07-01,2158610445.89,1,1902,4,1902,3,07,01
1901-07-01,2143326933.89,1,1901,4,1901,3,07,01
1900-07-01,2136961091.67,1,1900,4,1900,3,07,01
1899-07-01,1991927306.92,1,1899,4,1899,3,07,01
1898-07-01,1796531995.90,1,1898,4,1898,3,07,01
1897-07-01,1817672665.90,1,1897,4,1897,3,07,01
1896-07-01,1769840323.40,1,1896,4,1896,3,07,01
1895-07-01,1676120983.25,1,1895,4,1895,3,07,01
1894-07-01,1632253636.68,1,1894,4,1894,3,07,01
1893-07-01,1545985686.13,1,1893,4,1893,3,07,01
1892-07-01,1588464144.63,1,1892,4,1892,3,07,01
